"21 Jump Street",2012,"http://www.imdb.com/title/tt1232829/"
"300",2006,"http://www.imdb.com/title/tt0416449/"
"30 Minutes or Less",2011,"http://www.imdb.com/title/tt1622547/"
"9th Company",2005,"http://www.imdb.com/title/tt0417397/"
"Abraham Lincoln: Vampire Hunter",2012,"http://www.imdb.com/title/tt1611224/"
"Act of Valor",2012,"http://www.imdb.com/title/tt1591479/"
"Age of Heroes",2011,"http://www.imdb.com/title/tt1590950/"
"Alice in Wonderland",2010,"http://www.imdb.com/title/tt1729632/"
"American Gangster",2007,"http://www.imdb.com/title/tt0765429/"
"American Reunion",2012,"http://www.imdb.com/title/tt1605630/"
